Index;Ciudad;Latitude;Longitude
0;Madrid;40,416677;-3,704021
1;Madrid;40,416677;-3,704021
2;Alcalá De Henares;40,482347;-3,363869
3;Lleida;41,617451;0,620077
4;Madrid;40,416677;-3,704021
5;Sant Cugat Del Valles;41,471772;2,085458
6;Málaga;36,722278;-4,419795
7;Madrid;40,416677;-3,704021
8;Madrid;40,416677;-3,704021
9;Barcelona;41,38694;2,169784
10;Madrid;40,416677;-3,704021
11;Madrid;40,416677;-3,704021
12;San Sebastián De Los Reyes;40,557904;-3,625563
13;Barcelona;41,38694;2,169784
14;La Zubia;37,119457;-3,584338
15;Alcobendas;40,539737;-3,636214
16;Cádiz;36,526154;-6,287567
17;Madrid;40,416677;-3,704021
18;Gandia;38,967391;-0,184743
19;Barcelona;41,38694;2,169784
20;Pozuelo De Alarcón;40,447429;-3,803779
21;Sant Cugat Del Valles;41,471772;2,085458
22;Guardamar Del Segura;38,085103;-0,652436
23;Madrid;40,416677;-3,704021
24;Logroño;42,463017;-2,445789
25;Madrid;40,416677;-3,704021
26;Berango;43,360779;-2,99716
27;Madrid;40,416677;-3,704021
28;Santiago De Compostela;42,878181;-8,544866
29;Madrid;40,416677;-3,704021
30;Valencia;39,467695;-0,377039
31;Madrid;40,416677;-3,704021
32;Barcelona;41,38694;2,169784
33;Madrid;40,416677;-3,704021
34;Barcelona;41,38694;2,169784
35;Madrid;40,416677;-3,704021
36;Barcelona;41,38694;2,169784
37;Barcelona;41,38694;2,169784
38;Barcelona;41,38694;2,169784
39;Madrid;40,416677;-3,704021
40;Madrid;40,416677;-3,704021
41;Madrid;40,416677;-3,704021
42;Barcelona;41,38694;2,169784
43;Madrid;40,416677;-3,704021
44;Madrid;40,416677;-3,704021
45;L'Hospitalet De Llobregat;41,364965;2,116902
46;Valencia;39,467695;-0,377039
47;Málaga;36,722278;-4,419795
48;Getxo;43,338927;-3,007931
49;Madrid;40,416677;-3,704021
50;Collado Villalba;40,630689;-4,005035
51;Barcelona;41,38694;2,169784
52;Barcelona;41,38694;2,169784
53;Madrid;40,416677;-3,704021
54;Madrid;40,416677;-3,704021
55;Burgos;42,343698;-3,6971
56;Barcelona;41,38694;2,169784
57;Sevilla;37,387907;-5,985122
58;El Prat De Llobregat;41,327545;2,093682
59;Finestrat;38,567597;-0,212633
60;Bilbao;43,262243;-2,935283
61;Madrid;40,416677;-3,704021
62;Madrid;40,416677;-3,704021
63;Barcelona;41,38694;2,169784
64;Málaga;36,722278;-4,419795
65;Avilés;43,557876;-5,924607
66;Castelldefels;41,277703;1,976696
67;Madrid;40,416677;-3,704021
68;Sant Boi De Llobregat;41,345776;2,034899
69;Pamplona/Iruña;42,812741;-1,645988
70;Sitges;41,237168;1,805801
71;La Zubia;37,119457;-3,584338
72;Zaragoza;41,648813;-0,889119
73;Madrid;40,416677;-3,704021
74;Pinto;40,240456;-3,69844
75;Tarragona;41,119239;1,244702
76;Barcelona;41,38694;2,169784
77;Madrid;40,416677;-3,704021
78;Elche;38,265794;-0,703542
79;Barcelona;41,38694;2,169784
80;Sant Cugat Del Valles;41,471772;2,085458